上海频道,#genre#
CCTV5,http://192.168.2.1:9988/rtp/239.45.1.69:5140#http://192.168.2.1:9988/rtp/239.45.3.54:5140#http://192.168.2.1:9988/rtp/239.45.3.29:5140#http://192.168.2.1:9988/rtp/239.45.3.114:5140#http://192.168.2.1:9988/rtp/239.45.3.254:5140
CCTV-5+体育赛事,http://192.168.2.1:9988/rtp/239.45.3.55:5140#http://192.168.2.1:9988/rtp/239.45.3.55:5140#http://192.168.2.1:9988/rtp/239.45.1.206:5140
CCTV6,http://192.168.2.1:9988/rtp/239.45.1.70:5140#http://192.168.2.1:9988/rtp/239.45.3.30:5140#http://192.168.2.1:9988/rtp/239.45.3.115:5140
CCTV7,http://192.168.2.1:9988/rtp/239.45.1.193:5140#http://192.168.2.1:9988/rtp/239.45.3.31:5140#http://192.168.2.1:9988/rtp/239.45.3.56:5140
CCTV8,http://192.168.2.1:9988/rtp/239.45.1.71:5140#http://192.168.2.1:9988/rtp/239.45.1.113:5140#http://192.168.2.1:9988/rtp/239.45.3.32:5140
CCTV9,http://192.168.2.1:9988/rtp/239.45.1.108:5140#http://192.168.2.1:9988/rtp/239.45.3.2:5140#http://192.168.2.1:9988/rtp/239.45.3.4:5140
CCTV10,http://192.168.2.1:9988/rtp/239.45.1.195:5140#http://192.168.2.1:9988/rtp/239.45.3.34:5140#http://192.168.2.1:9988/rtp/239.45.3.8:5140
CCTV11,http://192.168.2.1:9988/rtp/239.45.1.196:5140#http://192.168.2.1:9988/rtp/239.45.3.35:5140
CCTV12,http://192.168.2.1:9988/rtp/239.45.1.197:5140#http://192.168.2.1:9988/rtp/239.45.3.36:5140#http://192.168.2.1:9988/rtp/239.45.3.10:5140
CCTV13,http://192.168.2.1:9988/rtp/239.45.1.198:5140#http://192.168.2.1:9988/rtp/239.45.3.37:5140
CCTV14,http://192.168.2.1:9988/rtp/239.45.1.199:5140#http://192.168.2.1:9988/rtp/239.45.3.38:5140#http://192.168.2.1:9988/rtp/239.45.3.23:5140
CCTV15,http://192.168.2.1:9988/rtp/239.45.1.200:5140#http://192.168.2.1:9988/rtp/239.45.3.39:5140
CCTV17,http://192.168.2.1:9988/rtp/239.45.3.1:5140#http://192.168.2.1:9988/rtp/239.45.3.52:5140
CGTN,http://192.168.2.1:9988/rtp/239.45.1.194:5140#http://192.168.2.1:9988/rtp/239.45.3.33:5140
中数兵器科技,http://itv.ahau.edu.cn/hls/gfjstv.m3u8
中数第一剧场,http://itv.ahau.edu.cn/hls/dyjctv.m3u8
中数风云足球,http://itv.ahau.edu.cn/hls/fyzqtv.m3u8
中数高尔夫网球,http://192.168.2.1:9988/rtp/239.45.1.243:5140#http://192.168.2.1:9988/rtp/239.45.3.120:5140
中数怀旧剧场,http://itv.ahau.edu.cn/hls/hjjctv.m3u8
教育1台,http://192.168.2.1:9988/rtp/239.45.1.125:5140#http://192.168.2.1:9988/rtp/239.45.1.51:5140
教育2台,http://192.168.2.1:9988/rtp/239.45.1.52:5140
教育3台,http://itv.ahau.edu.cn/hls/cetv3.m3u8
教育4台,http://192.168.2.1:9988/rtp/239.45.1.50:5140

各地卫视,#genre#
浙江卫视,http://192.168.2.1:9988/rtp/239.45.3.178:5140#http://192.168.2.1:9988/rtp/239.45.1.217:5140#http://192.168.2.1:9988/rtp/239.45.3.41:5140
江苏卫视,http://192.168.2.1:9988/rtp/239.45.3.177:5140#http://192.168.2.1:9988/rtp/239.45.1.216:5140#http://192.168.2.1:9988/rtp/239.45.3.40:5140
湖南卫视,http://192.168.2.1:9988/rtp/239.45.3.228:5140#http://192.168.2.1:9988/rtp/239.45.1.215:5140#http://192.168.2.1:9988/rtp/239.45.3.45:5140
北京卫视,http://192.168.2.1:9988/rtp/239.45.3.229:5140#http://192.168.2.1:9988/rtp/239.45.1.214:5140#http://192.168.2.1:9988/rtp/239.45.3.109:5140
广东卫视,http://192.168.2.1:9988/rtp/239.45.3.230:5140#http://192.168.2.1:9988/rtp/239.45.1.235:5140#http://192.168.2.1:9988/rtp/239.45.3.65:5140
深圳卫视,http://192.168.2.1:9988/rtp/239.45.3.231:5140#http://192.168.2.1:9988/rtp/239.45.1.115:5140#http://192.168.2.1:9988/rtp/239.45.3.141:5140
黑龙江卫视,http://192.168.2.1:9988/rtp/239.45.3.232:5140#http://192.168.2.1:9988/rtp/239.45.1.236:5140#http://192.168.2.1:9988/rtp/239.45.3.220:5140
山东卫视,http://192.168.2.1:9988/rtp/239.45.3.238:5140#http://192.168.2.1:9988/rtp/239.45.1.221:5140#http://192.168.2.1:9988/rtp/239.45.3.44:5140
湖北卫视,http://192.168.2.1:9988/rtp/239.45.3.239:5140#http://192.168.2.1:9988/rtp/239.45.1.239:5140#http://192.168.2.1:9988/rtp/239.45.3.222:5140
安徽卫视,http://192.168.2.1:9988/rtp/239.45.1.120:5140#http://192.168.2.1:9988/rtp/239.45.1.223:5140#http://192.168.2.1:9988/rtp/239.45.3.44:5140
东南卫视,http://192.168.2.1:9988/rtp/239.45.1.121:5140#http://192.168.2.1:9988/rtp/239.45.1.224:5140#http://192.168.2.1:9988/rtp/239.45.3.227:5140
江西卫视,http://192.168.2.1:9988/rtp/239.45.1.122:5140#http://192.168.2.1:9988/rtp/239.45.1.227:5140#http://192.168.2.1:9988/rtp/239.45.3.169:5140
辽宁卫视,http://192.168.2.1:9988/rtp/239.45.1.123:5140#http://192.168.2.1:9988/rtp/239.45.1.222:5140#http://192.168.2.1:9988/rtp/239.45.3.42:5140
天津卫视,http://192.168.2.1:9988/rtp/239.45.1.124:5140#http://192.168.2.1:9988/rtp/239.45.1.226:5140#http://192.168.2.1:9988/rtp/239.45.3.168:5140
四川卫视,http://192.168.2.1:9988/rtp/239.45.1.83:5140#http://192.168.2.1:9988/rtp/239.45.1.220:5140#http://192.168.2.1:9988/rtp/239.45.3.48:5140
重庆卫视,http://192.168.2.1:9988/rtp/239.45.1.84:5140#http://192.168.2.1:9988/rtp/239.45.1.240:5140#http://192.168.2.1:9988/rtp/239.45.3.223:5140
贵州卫视,http://192.168.2.1:9988/rtp/239.45.1.80:5140#http://192.168.2.1:9988/rtp/239.45.1.241:5140#http://192.168.2.1:9988/rtp/239.45.3.224:5140
海南卫视,http://192.168.2.1:9988/rtp/239.45.1.81:5140#http://192.168.2.1:9988/rtp/239.45.1.218:5140#http://192.168.2.1:9988/rtp/239.45.3.47:5140
河北卫视,http://192.168.2.1:9988/rtp/239.45.1.44:5140#http://192.168.2.1:9988/rtp/239.45.1.237:5140
金鹰纪实,http://192.168.2.1:9988/rtp/239.45.1.45:5140
宁夏卫视,http://192.168.2.1:9988/rtp/239.45.1.213:5140#http://192.168.2.1:9988/rtp/239.45.3.176:5140
广西卫视,http://192.168.2.1:9988/rtp/239.45.1.219:5140#http://192.168.2.1:9988/rtp/239.45.3.46:5140
吉林卫视,http://192.168.2.1:9988/rtp/239.45.1.228:5140#http://192.168.2.1:9988/rtp/239.45.3.170:5140
山西卫视,http://192.168.2.1:9988/rtp/239.45.1.229:5140#http://192.168.2.1:9988/rtp/239.45.3.171:5140
青海卫视,http://192.168.2.1:9988/rtp/239.45.1.230:5140#http://192.168.2.1:9988/rtp/239.45.3.172:5140
西藏卫视,http://192.168.2.1:9988/rtp/239.45.1.231:5140#http://192.168.2.1:9988/rtp/239.45.3.173:5140
陕西卫视,http://192.168.2.1:9988/rtp/239.45.1.232:5140#http://192.168.2.1:9988/rtp/239.45.3.174:5140
云南卫视,http://192.168.2.1:9988/rtp/239.45.1.233:5140#http://192.168.2.1:9988/rtp/239.45.3.180:5140
甘肃卫视,http://192.168.2.1:9988/rtp/239.45.1.234:5140#http://192.168.2.1:9988/rtp/239.45.3.175:5140
内蒙古卫视,http://192.168.2.1:9988/rtp/239.45.1.238:5140#http://192.168.2.1:9988/rtp/239.45.3.221:5140
河南卫视,http://192.168.2.1:9988/rtp/239.45.1.242:5140#http://192.168.2.1:9988/rtp/239.45.3.225:5140
新疆卫视,http://192.168.2.1:9988/rtp/239.45.1.116:5140#http://192.168.2.1:9988/rtp/239.45.3.142:5140
兵团卫视,http://192.168.2.1:9988/rtp/239.45.1.117:5140#http://192.168.2.1:9988/rtp/239.45.3.143:5140
三沙卫视,http://192.168.2.1:9988/rtp/239.45.1.82:5140
康巴卫视,http://192.168.2.1:9988/rtp/239.45.1.251:5140
金鹰卡通,http://192.168.2.1:9988/rtp/239.45.3.118:5140#http://192.168.2.1:9988/rtp/239.45.3.119:5140
嘉佳卡通,http://192.168.2.1:9988/rtp/239.45.1.48:5140
卡酷动画,http://192.168.2.1:9988/rtp/239.45.1.49:5140
中国天气,http://192.168.2.1:9988/rtp/239.45.1.47:5140
陶瓷,http://192.168.2.1:9988/rtp/239.45.3.50:5140
北京冬奥纪实,http://192.168.2.1:9988/rtp/239.45.1.14:5140
中数快乐垂钓,http://192.168.2.1:9988/rtp/239.45.3.12:5140
中数茶频道,http://192.168.2.1:9988/rtp/239.45.3.18:5140
足球频道,http://192.168.2.1:9988/rtp/239.45.3.22:5140#http://192.168.2.1:9988/rtp/239.45.3.164:5140
未知台标频道,http://192.168.2.1:9988/rtp/239.45.1.40:5140#http://192.168.2.1:9988/rtp/239.45.1.106:5140
无台标,http://192.168.2.1:9988/rtp/239.45.1.57:5140
无台标2,http://192.168.2.1:9988/rtp/239.45.3.214:5140
无台标3,http://192.168.2.1:9988/rtp/239.45.3.235:5140

购物频道,#genre#
东方购物-1HD,http://192.168.2.1:9988/rtp/239.45.3.74:5140#http://192.168.2.1:9988/rtp/239.45.3.19:5140#http://192.168.2.1:9988/rtp/239.45.3.250:5140
东方购物-2HD,http://192.168.2.1:9988/rtp/239.45.3.75:5140#http://192.168.2.1:9988/rtp/239.45.1.111:5140#http://192.168.2.1:9988/rtp/239.45.1.254:5140
东方购物-3HD,http://192.168.2.1:9988/rtp/239.45.3.207:5140#http://192.168.2.1:9988/rtp/239.45.3.124:5140
东方购物-4HD,http://192.168.2.1:9988/rtp/239.45.3.208:5140
东方购物-5HD,http://192.168.2.1:9988/rtp/239.45.3.253:5140#http://192.168.2.1:9988/rtp/239.45.3.126:5140
5G购,http://192.168.2.1:9988/rtp/239.45.1.5:5140
5G购2,http://192.168.2.1:9988/rtp/239.45.1.6:5140
5G购3,http://192.168.2.1:9988/rtp/239.45.1.7:5140
聚鲨环球精选,http://192.168.2.1:9988/rtp/239.45.3.123:5140
央广购物,http://192.168.2.1:9988/rtp/239.45.3.213:5140
央广购物2,http://192.168.2.1:9988/rtp/239.45.3.240:5140
家家购物,http://192.168.2.1:9988/rtp/239.45.3.179:5140
快乐购物,http://192.168.2.1:9988/rtp/239.45.1.53:5140
优购物,http://192.168.2.1:9988/rtp/239.45.1.114:5140#http://192.168.2.1:9988/rtp/239.45.3.186:5140
好享购物,http://192.168.2.1:9988/rtp/239.45.1.253:5140#http://192.168.2.1:9988/rtp/239.45.3.194:5140
中央购物,http://192.168.2.1:9988/rtp/239.45.3.79:5140
家有购物,http://192.168.2.1:9988/rtp/239.45.1.43:5140
风尚购物,http://192.168.2.1:9988/rtp/239.45.1.27:5140
好吃厨房,http://192.168.2.1:9988/rtp/239.45.1.60:5140#http://192.168.2.1:9988/rtp/239.45.1.61:5140

空中课堂,#genre#
一年级,http://192.168.2.1:9988/rtp/239.45.1.28:5140#http://192.168.2.1:9988/rtp/239.45.1.74:5140
二年级,http://192.168.2.1:9988/rtp/239.45.1.29:5140#,http://192.168.2.1:9988/rtp/239.45.1.73:5140
三年级,http://192.168.2.1:9988/rtp/239.45.1.30:5140#http://192.168.2.1:9988/rtp/239.45.1.75:5140
四年级,http://192.168.2.1:9988/rtp/239.45.1.31:5140#http://192.168.2.1:9988/rtp/239.45.1.72:5140
五年级,http://192.168.2.1:9988/rtp/239.45.1.32:5140
六年级,http://192.168.2.1:9988/rtp/239.45.1.33:5140
七年级,http://192.168.2.1:9988/rtp/239.45.1.34:5140
八年级,http://192.168.2.1:9988/rtp/239.45.1.35:5140
九年级,http://192.168.2.1:9988/rtp/239.45.1.36:5140
高一年级,http://192.168.2.1:9988/rtp/239.45.1.37:5140
高二年级,http://192.168.2.1:9988/rtp/239.45.1.38:5140
高三年级,http://192.168.2.1:9988/rtp/239.45.1.39:5140

港澳台频道,#genre#
凤凰卫视资讯台,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_PhoenixinfoTVHD.m3u8#http://125.210.152.18:9090/live/FHZX_1200.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
凤凰卫视中文台,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_PhoenixTVHD.m3u8#http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8#http://125.210.152.18:9090/live/FHZW_1200.m3u8#http://223.82.250.72/ysten-bussiness/live/fhchinese/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8
鳳凰香港台,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_PhoenixHKHD.m3u8#http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
澳亚卫视,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_MasTV.m3u8#http://httpdvb.slave.nx96200.cn:13164/playurl?playtype=live&protocol=http&accesstoken=R5EDED88FU30990082K776ABB09I32F98767PBM323A1A7V0Z9C465W1616B8D311E6D9E9&programid=4200900106&playtoken=ABCDEFGHI
阳光卫视,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_SunShineTV.m3u8#http://121.31.30.90:8085/ysten-business/live/yangguangstv/yst.m3u8
澳门卫视,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_MSTV.m3u8#http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
星空卫视,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_XingKongTV.m3u8#https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_XingKongTV.m3u8#http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=234&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
CHANNEL [V],https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_ChannelV.m3u8
翡翠台,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_XGFeiCui.m3u8
明珠台,https://live-wxxcx.mtq.tvmmedia.cn/weixin/live_XGMingZhu.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://cctvalih5ca.v.myalicdn.com/cstv/xianggangweishi_2/index.m3u8
TVB星河频道,http://192.154.103.75:8080/ZZ_xinghe/ZZ_xinghe.m3u8
无线财经FHD,http://prdsecurelive.ainemo.com/live/6914e6c1dd9a3fda2ebc0f4742c4da47.flv
无线新闻FHD,http://prdsecurelive.ainemo.com/live/de6332dff4dec7629c5834e465818122.flv
翡翠明珠,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
翡翠综合,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv&_res_tag_=video
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
百事通台,http://112.17.40.145/PLTV/88888888/224/3221226596/index.m3u8
MTV音乐,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=202&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVBS新闻,http://153.99.180.70:5021/live/348/playlist.m3u8
TVBS HD,http://153.99.180.70:5021/live/349/playlist.m3u8
HBO温馨,http://153.99.180.70:5021/live/181/playlist.m3u8
博斯高球,http://153.99.180.70:5021/live/265/playlist.m3u8
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=188
明珠台,http://116.199.5.52:8114/00000000/index.m3u8?Fsv_chan_hls_se_idx=12&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
中国环球电视,http://live.cgtn.com/1000/prog_index.m3u8
耀才财经台,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
三立都会台,http://153.99.180.70:5021/live/226/playlist.m3u8
东森财经新闻,http://153.99.180.70:5021/live/456/playlist.m3u8
年代新闻,http://153.99.180.70:5021/live/455/playlist.m3u8
HKS卫视高清,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
澳门有线,http://202.175.127.77/live/show/ch1/index.m3u8
互动新闻,http://202.175.127.77/live/show/ch2/index.m3u8
翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
明珠台,http://116.199.5.51:8114/00000000/2e368e04c76446bc9d30ca7a9f934dae/index.m3u8?Fsv_cid=1034&Fsv_chan_hls_se_idx=12&Fsv_ctype=LIVES&version=9&Fsv_rate_id=1&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=7f88be5fb6fd426494f6aa240f1dc7a9&Provider_id=00000000&Fsv_filetype=1&Fsv_ShiftEnable=0&Fsv_SV_PARAM1=0&Fsv_ShiftTsp=240&Fsv_CMSID=00000000&AuthInfo=P2ZSH2gNMZ8aiVfV%2BjCYczoGsAYoDo4KY5I3eHfJhGTKdSzgLwCHoSet9it9fXrMLwehJxh9gmO%2F%0AOFrWyxI%2BtteLTJnZKT7Lg8BRYQNXMQU%3D%0A
经典电影,http://106.54.30.243/dl/YY.php?t=1352216562
龙祥时代,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8?token=BIk2YfurpyjroYsSvl8Ciw&time=1558345786385
民视,http://153.99.180.70:5021/live/450/playlist.m3u8
东森新闻,http://153.99.180.70:5021/live/340/playlist.m3u8
非凡新闻,http://153.99.180.70:5021/live/443/playlist.m3u8
纬来戏剧,http://153.99.180.70:5021/live/137/playlist.m3u8
八大第一台,http://153.99.180.70:5021/live/441/playlist.m3u8
三立新闻,http://153.99.180.70:5021/live/352/playlist.m3u8
番薯衛星電視台,http://210.209.3.1/live/C02DD98E-593E-47A8-905C-3B101183A555.m3u8?fmt=x264_500K_ts&cpid=admin
好消息1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8

澳门奥视,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
澳门葡萄牙,http://61.244.22.5/ch2/ch2.live/chunklist_w1632175875.m3u8
求索频道,http://125.210.152.18:9090/live/QSKX_1200.m3u8
亚洲旅游,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
唯心電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8
百事通台,http://112.17.40.145/PLTV/88888888/224/3221226596/index.m3u8
歐美影院,http://101.71.255.229:6610/zjhs/2/10037/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10037&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=Q894B3E8EEZ3T19UG09L8B03GSWB&ts=1553493266
亞洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10052&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=C3V7K4ET1VFDUJY6C1IASRV55G66&ts=1553493153
耀才财经,http://202.69.69.180:443/webcast/bshdlive-mobile/playlist.m3u8
澳视综艺,http://61.244.22.5/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳视资讯,http://61.244.22.5/ch5/info_ch5.live/master.m3u8
TVBS新聞,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
民視新聞,http://seb.sason.top/sc/msxw_fhd.m3u8
三立Live新聞,http://seb.sason.top/sc/sllive_fhd.m3u8
中天新聞,http://seb.sason.top/sc/ztxw_fhd.m3u8
東森新聞,http://seb.sason.top/sc/dsxw_fhd.m3u8
華視新聞,http://seb.sason.top/sc/hsxw_fhd.m3u8
中視新聞,http://seb.sason.top/sc/zsxw_fhd.m3u8
台視新聞,http://seb.sason.top/sc/tsxw_fhd.m3u8
華藏衛視,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8
星空卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=233&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVB 无线明珠,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
澳视卫星,http://61.244.22.5/ch3/_definst_/ch3.live/playlist.m3u8
